matcher,P_bin,R_bin,Res_bin,Cal_bin,P_bin_pred,R_bin_pred,Res_bin_pred,Cal_bin_pred
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
84,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
85,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
86,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
87,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
92,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
93,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
94,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
95,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
96,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
97,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
